,Coefficient
qtdCommitContributions,-3.346740632037025e-16
qtdIssueContributions,-8.326672684688674e-17
qtdPullRequestContributions,1.6105712448820218e-16
qtdPullRequestReviewContributions,-5.037638652806811e-16
qtdRepositoriesWithContributedCommits,4.1816750071810305e-16
qtdRepositoriesWithContributedIssues,3.976818328762995e-17
qtdRepositoriesWithContributedPullRequestReviews,2.9180815218273e-16
qtdRepositoryContributions,2.235459650702908e-16
qtdRepositoriesWithContributedPullRequests,-2.2771244313169754e-16
qtdissue,6.264599757505549e-16
qtdIssueClosed,-5.954335134343944e-16
qtdIssueOpen,-1.2487632987387188e-16
QTdtoalComentsIssue,5.639579242877326e-17
avgIssueComment,2.159993159076611e-16
QtdIssueReaction,-3.0322639143582106e-15
qtdIssueReactionHeatr,2.7057174392221273e-16
issueReactionthumbsUP,2.1081373211520975e-15
qtsIssueReactionHooray,5.82073088552352e-16
qtdRepository,-7.896764176559689e-16
qtdTotalStars,-4.983840278538864e-16
avgQtdSTartRepository,3.3642707016550983e-16
QtdtotalWatchers,1.0798105861374516e-15
avgQtdWatchersRepository,-6.770472007632139e-16
qtdRepositoryLanguages,4.59488089328609e-16
qtdPullRequests,-4.886632809277801e-17
qtdPullRequestsmergedAndClosed,-1.4368748222818137e-16
qtdpullrequestsclosedandnotmerged,4.686236019534735e-16
qtdpullrequestnotmergedandopen,-4.755918355701208e-16
sum(ncloc),5.01067778120816e-16
avg(ncloc),-8.022294003241318e-16
avg(qtdBugs),-3.858358532850381e-15
sum(qtdBugs),3.356264367061314e-15
sum(qtdCodeSmells),-4.823804093631097e-16
avg(qtdCodeSmells),-5.946645628175651e-16
avg(reliabilityRating),1.0000000000000007
sum(qtdDuplicatedFiles),1.0059566569499412e-15
avg(qtdDuplicatedFiles),-5.965077065107904e-16
sum(commentLinesDensity),6.158268339717665e-17
avg(commentLinesDensity),-8.283304597789254e-17
sum(fileComplexity),-5.085450290043259e-16
avg(fileComplexity),9.963817965141786e-17
sum(qtdViolation),4.463771305438912e-15
avg(manutenibilityRating),3.748086910282389e-16
avg(securityRating),5.452605191360108e-16
qtdFollowers,-1.8388068845354155e-16
